"fullname","num_unique_author_inblock","num_citaion_in_block","block_size","is_top100_chinese_name"
"yu, miao",4,36,9,0
"jun, ge",3,69,23,0
"xin, wen",7,66,9.428571428571429,0
"min, kim",5,151,30.2,0
"jie, wen",3,44,14.666666666666666,0
"raja, m",3,27,9,0
"yu, zeng",3,21,7,0
"hao, niu",4,20,5,0
"hakan, yilmaz",3,6,2,0
"eun young, kim",10,52,5.2,0
"mehdi, abbasi",3,15,5,0
"saeed, khalili",3,29,9.666666666666666,0
"ayan, chatterjee",3,28,9.333333333333334,0
"daniel, medeiros",4,79,19.75,0
"sri, yuliani",3,39,13,0
"alan, hsu",3,49,16.333333333333332,0
"colin, cooke",3,106,35.333333333333336,0
"hannah, brown",3,17,5.666666666666667,0
"aaron, miller",3,25,8.333333333333334,0
"laura, duque",3,23,7.666666666666667,0
"john, day",4,34,8.5,0
"yuxiang, hong",3,10,3.3333333333333335,0
"david, costa",3,43,14.333333333333334,0
"giuseppe, rossi",3,68,22.666666666666668,0
"susan, graham",3,155,51.666666666666664,0
"angel, rubio",3,57,19,0
"stephen, morgan",3,148,49.333333333333336,0
"matthew, johnson",31,486,15.67741935483871,0
"joana, sousa",7,55,7.857142857142857,0
"andres, garcia",3,27,9,0
"pedro, almeida",6,174,29,0
"daniel, huber",3,228,76,0
"yang, kang",3,23,7.666666666666667,0
"abhishek, das",7,45,6.428571428571429,0
"ahmad, abdullah",3,12,4,0
"martin, beck",3,178,59.333333333333336,0
"yuji, masuda",3,56,18.666666666666668,0
"marina, makarova",3,85,28.333333333333332,0
"matthew, becker",4,76,19,0
"anurag, gupta",3,24,8,0
"rebecca, hughes",3,29,9.666666666666666,0
"robert, lehmann",4,34,8.5,0
"adrian, moore",3,9,3,0
"mark, gregory",3,94,31.333333333333332,0
"marcelo, ribeiro",3,44,14.666666666666666,0
"jose, ramirez",3,47,15.666666666666666,0
"luis, lopes",4,100,25,0
"irina, nikishina",3,41,13.666666666666666,0
"balamurugan, p",4,24,6,0
"vitor, teixeira",3,30,10,0
"jennifer, ross",4,79,19.75,0
"elena, vasilieva",3,46,15.333333333333334,0
"mark, reed",3,73,24.333333333333332,0
"saurabh, mehta",3,124,41.333333333333336,0
"jennifer, harris",3,31,10.333333333333334,0
"derek, jones",3,24,8,0
"maciej, majewski",3,53,17.666666666666668,0
"alex, hall",3,36,12,0
"jennifer, turner",3,92,30.666666666666668,0
"david, peacock",3,9,3,0
"jiyong, park",3,29,9.666666666666666,0
"asad, malik",3,54,18,0
"hye jin, kim",4,15,3.75,0
"david, bridges",3,16,5.333333333333333,0
"jihoon, choi",4,74,18.5,0
"wouter, peeters",3,23,7.666666666666667,0
"jonathan, fisher",4,72,18,0
"sergey, tikhonov",3,20,6.666666666666667,0
"josé, martins",4,100,25,0
"ben, baker",3,11,3.6666666666666665,0
"thomas, meyer",6,59,9.833333333333334,0
"aarti, singh",3,8,2.6666666666666665,0
"kate, anderson",3,19,6.333333333333333,0
"david, herrera",3,127,42.333333333333336,0
"chihiro, inoue",3,98,32.666666666666664,0
"jane, davies",3,13,4.333333333333333,0
"paul, rohde",3,14,4.666666666666667,0
"gautam, anand",4,25,6.25,0
"philipp, koch",3,61,20.333333333333332,0
"michael, klein",3,25,8.333333333333334,0
"kevin, walker",4,73,18.25,0
"carla, carvalho",4,91,22.75,0
"takeshi, suzuki",7,83,11.857142857142858,0
"andrew, davies",10,203,20.3,0
"joao, sousa",3,325,108.33333333333333,0
"pedro, pereira",13,186,14.307692307692308,0
"rachel, thompson",3,46,15.333333333333334,0
"sandeep, kumar",32,424,13.25,0
"miguel, moreira",4,24,6,0
"john, montgomery",4,179,44.75,0
"hoang, tran",3,23,7.666666666666667,0
"nikhil, shah",3,16,5.333333333333333,0
"katharina, koch",3,12,4,0
"lisa, white",3,54,18,0
"maria, perez",3,18,6,0
"subhajit, dutta",3,11,3.6666666666666665,0
"james, reynolds",5,58,11.6,0
"subhasish, das",3,39,13,0
"sojung, kim",3,38,12.666666666666666,0
"scott, robertson",3,32,10.666666666666666,0
"cristina, garcia",3,37,12.333333333333334,0
"rafael, souza",3,20,6.666666666666667,0
"claudia, silva",5,61,12.2,0
"brian, phillips",3,75,25,0
"sara, santos",12,80,6.666666666666667,0
"brendan, barrett",3,82,27.333333333333332,0
"daniel, becker",4,122,30.5,0
"daniel, turner",4,51,12.75,0
"joaquim, santos",5,30,6,0
"rajesh, n",3,10,3.3333333333333335,0
"francesco, lotti",3,61,20.333333333333332,0
"mark, arnold",3,106,35.333333333333336,0
"anuradha, singh",4,21,5.25,0
"alan, davidson",3,12,4,0
"jonathan, ellis",3,100,33.333333333333336,0
"sarah, hall",4,67,16.75,0
"fatma, ali",4,14,3.5,0
"alireza, karimi",3,113,37.666666666666664,0
"joana, baptista",3,43,14.333333333333334,0
"peter, newton",3,68,22.666666666666668,0
"tho, nguyen",3,20,6.666666666666667,0
"helena, veiga",3,41,13.666666666666666,0
"sandeep, sharma",10,119,11.9,0
"michael, parker",7,488,69.71428571428571,0
"taehee, kim",4,19,4.75,0
"patrick, collins",3,72,24,0
"jun-young, park",3,152,50.666666666666664,0
"miran, kim",3,41,13.666666666666666,0
"saeed, salehi",3,32,10.666666666666666,0
"ashwin, rao",3,10,3.3333333333333335,0
"ahmed, darwish",3,42,14,0
"lars, müller",3,37,12.333333333333334,0
"young, kim",4,13,3.25,0
"elizabeth, ellis",3,13,4.333333333333333,0
"fatemeh, rezaei",4,23,5.75,0
"kyle, jones",3,16,5.333333333333333,0
"raquel, costa",4,60,15,0
"eric, miller",7,270,38.57142857142857,0
"karen, anderson",4,95,23.75,0
"seonghwan, kim",3,16,5.333333333333333,0
"javier, ramos",3,104,34.666666666666664,0
"justin, lee",5,36,7.2,0
"olga, koval",3,29,9.666666666666666,0
"mikhail, petrov",4,186,46.5,0
"sudhir, kumar",13,218,16.76923076923077,0
"rafael, batista",4,38,9.5,0
"david, seifert",3,24,8,0
"tzu-chieh, chou",3,11,3.6666666666666665,0
"michael, fox",3,56,18.666666666666668,0
"jason, fisher",3,53,17.666666666666668,0
"ramesh, krishnan",3,33,11,0
"samuel, bell",3,12,4,0
"matthew, allen",5,108,21.6,0
"nitin, singh",4,29,7.25,0
"alexander, evans",3,28,9.333333333333334,0
"john, bradley",3,131,43.666666666666664,0
"diego, franco",3,98,32.666666666666664,0
"ajit, singh",9,109,12.11111111111111,0
"james, barry",3,24,8,0
"jiri, novak",3,78,26,0
"aslam, khan",3,133,44.333333333333336,0
"abdul, majid",4,165,41.25,0
"ricardo, soares",4,27,6.75,0
"marcelo, santos",9,107,11.88888888888889,0
"abhay, kumar",6,36,6,0
"oleg, sotnikov",3,25,8.333333333333334,0
"zoltan, szabo",3,79,26.333333333333332,0
"ritesh, ghosh",3,22,7.333333333333333,0
"bengt, johansson",3,48,16,0
"richard, francis",3,84,28,0
"paulo, carvalho",5,128,25.6,0
"gareth, price",4,180,45,0
"caroline, wilson",4,40,10,0
"andrew, wheeler",4,58,14.5,0
"michael, cole",3,97,32.333333333333336,0
"ali, razmi",3,11,3.6666666666666665,0
"rachel, kelly",3,29,9.666666666666666,0
"lauren, weiss",3,47,15.666666666666666,0
"sarah, cross",3,12,4,0
"maxim, polyakov",3,18,6,0
"petr, smirnov",3,7,2.3333333333333335,0
"asad, raza",3,12,4,0
"paul, conway",3,221,73.66666666666667,0
"nikolay, markov",3,41,13.666666666666666,0
"joão, amorim",4,16,4,0
"peter, tóth",4,29,7.25,0
"dipankar, saha",3,102,34,0
"muhammad, amin",5,104,20.8,0
"conor, murphy",3,51,17,0
"susana, pereira",7,103,14.714285714285714,0
"brian, dolan",3,78,26,0
"stuart, archer",3,36,12,0
"yutaka, suzuki",3,14,4.666666666666667,0
"khaled, saleh",4,121,30.25,0
"andrew, fisher",5,126,25.2,0
"jose, moreira",3,97,32.333333333333336,0
"eric, lee",4,15,3.75,0
"seho, park",3,117,39,0
"daniel, hardy",3,54,18,0
"michael, ohl",3,108,36,0
"marco, silva",3,65,21.666666666666668,0
"susan, rose",3,13,4.333333333333333,0
"anthony, brown",8,290,36.25,0
"jun, xing",3,37,12.333333333333334,0
"mário, silva",3,18,6,0
"wei, zhuang",3,15,5,0
"peng, fei",3,18,6,0
"andrew, friedman",3,43,14.333333333333334,0
"ricardo, gomez",3,38,12.666666666666666,0
"andrew, edwards",5,54,10.8,0
"sergey, sokolov",4,137,34.25,0
"sandeep, mittal",3,20,6.666666666666667,0
"james, dooley",3,130,43.333333333333336,0
"mohamed, ebrahim",3,11,3.6666666666666665,0
"firoz, ahmad",3,78,26,0
"rahul, patil",6,38,6.333333333333333,0
"olga, soboleva",3,19,6.333333333333333,0
"paul, mcnamara",4,80,20,0
"eric, smith",7,51,7.285714285714286,0
"david, fuchs",3,16,5.333333333333333,0
"manuel, castro",3,19,6.333333333333333,0
"melissa, jackson",3,16,5.333333333333333,0
"craig, phillips",3,104,34.666666666666664,0
"jonathan, kemp",3,75,25,0
"matthew, davies",4,36,9,0
"ashish, verma",4,45,11.25,0
"jennifer, jones",9,110,12.222222222222221,0
"michael, hoffman",3,83,27.666666666666668,0
"zheng, ruan",3,22,7.333333333333333,0
"david, lo",5,347,69.4,0
"chen, ming",4,14,3.5,0
"joão, carvalho",5,71,14.2,0
"amy, roberts",3,51,17,0
"helena, moreira",5,140,28,0
"igor, santos",4,25,6.25,0
"anirban, roy",4,18,4.5,0
"andrew, allen",4,152,38,0
"luis, gomes",3,235,78.33333333333333,0
"madison, smith",3,17,5.666666666666667,0
"ryan, flynn",3,106,35.333333333333336,0
"lisa, jones",3,29,9.666666666666666,0
"soyoung, kim",7,60,8.571428571428571,0
"hansung, kim",4,84,21,0
"adrian, lee",3,62,20.666666666666668,0
"oleg, sokolov",3,30,10,0
"james, lewis",4,109,27.25,0
"ji hyun, kim",4,81,20.25,0
"keith, brown",3,134,44.666666666666664,0
"simone, oliveira",3,6,2,0
"muhammad, saleem",7,73,10.428571428571429,0
"amr, mohamed",3,200,66.66666666666667,0
"david, george",3,39,13,0
"abdul, rehman",7,142,20.285714285714285,0
"anna, sikora",4,87,21.75,0
"alexey, petrov",5,56,11.2,0
"daniel, campbell",3,49,16.333333333333332,0
"laura, villa",3,64,21.333333333333332,0
"emma, richardson",4,25,6.25,0
"nadeem, khan",3,29,9.666666666666666,0
"david, campbell",8,191,23.875,0
"xin, ning",3,14,4.666666666666667,0
"taeyoon, kim",3,15,5,0
"john, shepherd",4,284,71,0
"biswajit, saha",3,60,20,0
"andrew, murphy",7,421,60.142857142857146,0
"daniel, shaw",4,49,12.25,0
"sunghoon, kim",6,242,40.333333333333336,0
"thomas, white",5,74,14.8,0
"marcos, maia",3,34,11.333333333333334,0
"marta, nunes",3,99,33,0
"aditya, joshi",5,46,9.2,0
"david, kaplan",6,222,37,0
"eduardo, cruz",3,38,12.666666666666666,0
"timothy, wood",3,91,30.333333333333332,0
"samuel, smith",5,66,13.2,0
"ivan, alekseev",3,22,7.333333333333333,0
"david, mott",3,64,21.333333333333332,0
"michael, welsh",3,401,133.66666666666666,0
"vladimir, shilov",3,42,14,0
"keiichi, inoue",3,34,11.333333333333334,0
"morteza, sadeghi",3,114,38,0
"david, jaramillo",3,22,7.333333333333333,0
"ricardo, amorim",4,22,5.5,0
"sarah, robertson",3,115,38.333333333333336,0
"asfandyar, khan",3,19,6.333333333333333,0
"raymond, wong",3,113,37.666666666666664,0
"joao, ramos",3,14,4.666666666666667,0
"sarah, green",4,100,25,0
"brendan, kelly",4,51,12.75,0
"nidhi, sharma",4,22,5.5,0
"angela, lombardi",3,187,62.333333333333336,0
"sebastian, meyer",4,19,4.75,0
"nam, phan",3,10,3.3333333333333335,0
"rodrigo, torres",3,14,4.666666666666667,0
"masatoshi, hori",3,45,15,0
"junho, lee",3,77,25.666666666666668,0
"rafael, siqueira",4,10,2.5,0
"carolina, silva",4,22,5.5,0
"marcin, krawczyk",4,22,5.5,0
"toshiaki, suzuki",3,52,17.333333333333332,0
"sarah, goodwin",3,19,6.333333333333333,0
"sungho, kim",5,30,6,0
"andrei, zaitsev",3,93,31,0
"roberto, santos",3,22,7.333333333333333,0
"james, dyer",3,43,14.333333333333334,0
"edward, brown",3,47,15.666666666666666,0
"chang woo, kim",4,44,11,0
"samuel, lai",3,38,12.666666666666666,0
"alexander, kim",6,24,4,0
"marco, oliveira",3,21,7,0
"justin, chan",3,6,2,0
"david, corcoran",5,65,13,0
"brett, anderson",3,56,18.666666666666668,0
"fatih, bulut",3,49,16.333333333333332,0
"eric, ross",3,54,18,0
"sunil, shukla",3,20,6.666666666666667,0
"jakub, nowak",3,17,5.666666666666667,0
"sumit, verma",3,17,5.666666666666667,0
"anirban, basu",5,132,26.4,0
"paulo, costa",9,192,21.333333333333332,0
"felix, müller",3,33,11,0
"rasoul, zarrin",3,7,2.3333333333333335,0
"ali, ahmad",5,78,15.6,0
"mohammad, naderi",3,33,11,0
"pedro, neves",5,57,11.4,0
"ian, wood",4,78,19.5,0
"john, young",8,283,35.375,0
"manal, mohammed",3,11,3.6666666666666665,0
"clara, ferreira",3,13,4.333333333333333,0
"paul, hughes",4,41,10.25,0
"pedro, nunes",3,17,5.666666666666667,0
"peter, mcmahon",3,34,11.333333333333334,0
"rebecca, green",4,82,20.5,0
"josé, lópez",3,100,33.333333333333336,0
"jonathan, clarke",3,70,23.333333333333332,0
"elsayed, mohamed",3,27,9,0
"ahmed, youssef",6,182,30.333333333333332,0
"rahul, anand",3,20,6.666666666666667,0
"mayank, sharma",3,14,4.666666666666667,0
"john, pearson",6,316,52.666666666666664,0
"miguel, leal",3,35,11.666666666666666,0
"julio, torres",3,13,4.333333333333333,0
"pedro, teixeira",8,199,24.875,0
"amany, mohamed",3,34,11.333333333333334,0
"john, cook",3,12,4,0
"martin, jung",3,73,24.333333333333332,0
"mark, stewart",5,146,29.2,0
"asad, abbas",3,16,5.333333333333333,0
"yuki, sato",4,25,6.25,0
"michael, perry",5,61,12.2,0
"michael, martin",8,97,12.125,0
"tariq, ismail",3,47,15.666666666666666,0
"rafael, ribeiro",4,27,6.75,0
"osama, ibrahim",3,20,6.666666666666667,0
"chris, ward",3,178,59.333333333333336,0
"adam, edwards",3,18,6,0
"anirban, ghosh",5,54,10.8,0
"sarah, davies",6,16,2.6666666666666665,0
"david, hicks",3,17,5.666666666666667,0
"brian, chan",4,64,16,0
"amanda, santos",3,7,2.3333333333333335,0
"jordan, hristov",3,116,38.666666666666664,0
"martin, lind",3,67,22.333333333333332,0
"john, warren",3,140,46.666666666666664,0
"thomas, möller",3,34,11.333333333333334,0
"david, oliver",3,78,26,0
"juhan, lee",3,31,10.333333333333334,0
"shakeel, ahmad",3,18,6,0
"andre, santos",4,37,9.25,0
"jyoti, shah",3,73,24.333333333333332,0
"patrick, carroll",3,24,8,0
"simon, wood",3,58,19.333333333333332,0
"toan, nguyen",5,76,15.2,0
"kevin, burns",3,12,4,0
"peter, wagner",3,87,29,0
"michael, reed",3,86,28.666666666666668,0
"jie, geng",4,69,17.25,0
"john, french",4,69,17.25,0
"mahfuzur, rahman",4,51,12.75,0
"susana, araújo",3,80,26.666666666666668,0
"helena, carvalho",3,31,10.333333333333334,0
"david, graham",6,63,10.5,0
"samuel, kim",3,30,10,0
"megan, kelly",3,18,6,0
"aaron, smith",10,133,13.3,0
"mark, little",4,17,4.25,0
"puneet, singh",4,20,5,0
"felix, chan",3,52,17.333333333333332,0
"hieu, nguyen",7,42,6,0
"john, thomas",5,66,13.2,0
"robert, thomas",6,96,16,0
"joão, matos",4,23,5.75,0
"huw, jones",4,141,35.25,0
"ian, roberts",4,50,12.5,0
"sarah, atkinson",6,124,20.666666666666668,0
"peter, andersen",3,364,121.33333333333333,0
"wei, kang",5,109,21.8,0
"prasenjit, das",3,25,8.333333333333334,0
"rebecca, simmons",4,107,26.75,0
"daniel, williams",5,38,7.6,0
"wayne, chan",3,29,9.666666666666666,0
"gurleen, kaur",5,19,3.8,0
"takashi, sasaki",4,131,32.75,0
"kaushik, kundu",3,38,12.666666666666666,0
"james, johnson",9,99,11,0
"michael, jones",16,287,17.9375,0
"matthew, edwards",3,41,13.666666666666666,0
"joão, costa",8,175,21.875,0
"richard, russell",4,84,21,0
"andrew, baker",6,165,27.5,0
"mohammad, rahman",8,141,17.625,0
"fábio, rosa",3,6,2,0
"ramesh, bhat",4,176,44,0
"daniela, silva",4,40,10,0
"junichi, tanaka",3,80,26.666666666666668,0
"jignesh, patel",5,32,6.4,0
"sarah, hopkins",3,34,11.333333333333334,0
"anil, kumar",42,676,16.095238095238095,0
"anna, dahlgren",3,17,5.666666666666667,0
"claudio, meneses",3,85,28.333333333333332,0
"elena, semenova",4,29,7.25,0
"isabel, costa",3,11,3.6666666666666665,0
"igor, sokolov",6,120,20,0
"james, murphy",9,165,18.333333333333332,0
"sarah, park",4,17,4.25,0
"alan, rogers",3,94,31.333333333333332,0
"mustafa, kaya",6,35,5.833333333333333,0
"rachel, smith",9,46,5.111111111111111,0
"biplab, sarkar",3,16,5.333333333333333,0
"abhishek, tiwari",4,20,5,0
"rahul, biswas",4,25,6.25,0
"stephen, bell",4,194,48.5,0
"michael, kim",4,50,12.5,0
"james, elliott",3,18,6,0
"marek, nowicki",3,58,19.333333333333332,0
"bhupendra, singh",8,132,16.5,0
"harunur, rashid",3,49,16.333333333333332,0
"jose, lopez",3,55,18.333333333333332,0
"oliver, johnson",3,82,27.333333333333332,0
"eun young, lee",5,68,13.6,0
"ankur, singh",3,95,31.666666666666668,0
"kyle, martin",4,29,7.25,0
"vivek, sharma",12,171,14.25,0
"john, carey",3,47,15.666666666666666,0
"kyungmin, lee",3,45,15,0
"anuj, jain",4,70,17.5,0
"anand, pandey",4,123,30.75,0
"david, rowe",3,70,23.333333333333332,0
"rodrigo, santos",8,103,12.875,0
"mary, rodgers",3,40,13.333333333333334,0
"christopher, lee",9,185,20.555555555555557,0
"robert, allan",3,28,9.333333333333334,0
"richard, pearson",4,107,26.75,0
"enrique, miranda",3,101,33.666666666666664,0
"sarah, davis",6,42,7,0
"yong-hwan, kim",3,36,12,0
"matthew, dean",3,20,6.666666666666667,0
"kifayat, ullah",3,26,8.666666666666666,0
"james, turner",3,78,26,0
"shahid, ali",8,167,20.875,0
"paulo, antunes",4,162,40.5,0
"andrew, peters",6,74,12.333333333333334,0
"muhammad, ahmad",4,18,4.5,0
"bruno, gomes",3,36,12,0
"mark, dawson",3,8,2.6666666666666665,0
"jiyoung, yoon",4,17,4.25,0
"dmitry, makarov",4,102,25.5,0
"guy, cohen",3,81,27,0
"james, booth",4,40,10,0
"daniel, levine",3,87,29,0
"feng, sha",3,21,7,0
"hiroyuki, ito",3,81,27,0
"kevin, burke",4,35,8.75,0
"viktor, melnyk",3,21,7,0
"john, hooker",3,31,10.333333333333334,0
"liliana, silva",6,62,10.333333333333334,0
"manu, goyal",3,56,18.666666666666668,0
"agus, setiawan",3,30,10,0
"amanda, nguyen",3,14,4.666666666666667,0
"filipe, ribeiro",6,79,13.166666666666666,0
"stefan, krause",3,145,48.333333333333336,0
"márcia, coelho",3,12,4,0
"andrew, hsu",4,28,7,0
"christian, klein",3,92,30.666666666666668,0
"michael, kennedy",6,91,15.166666666666666,0
"ahmed, soliman",10,78,7.8,0
"jose, gomez",3,38,12.666666666666666,0
"reza, ghasemi",3,24,8,0
"john, ellis",4,100,25,0
"alok, singh",4,77,19.25,0
"jonathan, wood",5,42,8.4,0
"marcelo, queiroz",3,56,18.666666666666668,0
"francesca, rossi",4,176,44,0
"martin, stevens",4,207,51.75,0
"changhwan, kim",5,28,5.6,0
"samuel, thompson",3,23,7.666666666666667,0
"syed, ali",5,42,8.4,0
"bilal, hassan",3,21,7,0
"neil, roberts",4,39,9.75,0
"karam, kim",3,29,9.666666666666666,0
"patrick, wong",3,146,48.666666666666664,0
"emma, ward",3,23,7.666666666666667,0
"ben, davies",3,88,29.333333333333332,0
"james, rodger",3,18,6,0
"sami, ullah",5,106,21.2,0
"shailesh, kumar",7,99,14.142857142857142,0
"abdul, halim",3,45,15,0
"essam, mohamed",5,38,7.6,0
"michael, crowe",3,38,12.666666666666666,0
"masahiro, suzuki",4,29,7.25,0
"david, blake",3,32,10.666666666666666,0
"yuta, suzuki",6,26,4.333333333333333,0
"antonio, rocha",3,55,18.333333333333332,0
"harmeet, singh",3,10,3.3333333333333335,0
"joao, madeira",3,16,5.333333333333333,0
"stefan, schulz",4,397,99.25,0
"soumen, ghosh",5,28,5.6,0
"joseph, johnson",5,20,4,0
"justin, davis",6,47,7.833333333333333,0
"kate, carroll",3,107,35.666666666666664,0
"john, o'brien",4,573,143.25,0
"james, fowler",4,116,29,0
"jose, vicente",4,291,72.75,0
"yusuke, yokota",3,24,8,0
"ji-eun, lee",4,71,17.75,0
"nawaz, ahmad",3,40,13.333333333333334,0
"wei, zhai",4,38,9.5,0
"daniel, scott",8,76,9.5,0
"ahmed, attia",6,43,7.166666666666667,0
"david, rose",4,50,12.5,0
"ahmed, kamel",3,14,4.666666666666667,0
"gustavo, alves",4,164,41,0
"rahim, jafari",3,17,5.666666666666667,0
"taeyeon, kim",3,17,5.666666666666667,0
"camila, silva",5,44,8.8,0
"sang-hun, lee",4,20,5,0
"keith, williams",4,81,20.25,0
"diana, vieira",4,30,7.5,0
"kathleen, smith",5,26,5.2,0
"catarina, silva",8,153,19.125,0
"muhammad, rizwan",8,328,41,0
"mehmet, erdem",4,37,9.25,0
