"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0001-5044-3721",2614533906,"wang","wang","xiaobing wang","xiao-bing wang","jin wang"
"0000-0002-7961-3728",2804313970,"feng li","feng","feng li","feng li","hanfeng guan"
"0000-0003-4480-7394",2108647521,"zhao xu","zhao","zhao xu","zhao xu","jun hua zhao"
"0000-0003-2640-3986",2041314642,"mohammad","khan","mohammad khan","mohammad a.u. khan","tariq m. khan"
"0000-0003-0826-9330",1578204048,"yakovlev","alex","alex yakovlev","alexandre yakovlev","alexander kushnerov"
"0000-0002-4822-2804",1550020946,"shin ando","shin","shin ando","shin ando","einoshin suzuki"
"0000-0003-0741-4911",2725672445,"jing zhao","jing","jing zhao","jing zhao","wanjing ma"
"0000-0001-8558-062X",2100193182,"chuan yang","yang","chuan yang","chuan yang","yi-yan yang"
"0000-0002-8340-243X",2328181820,"xinru wang","wang","xinru wang","xinru wang","yao wang"
"0000-0002-8217-9811",2426271072,"sanbing shen","shen","sanbing shen","sanbing shen","qin shen"
"0000-0002-6372-7894",2910411111,"xiangyu wang","wang","xiangyu wang","xiangyu wang","liquan wang"
"0000-0002-6531-206X",2773856235,"eun joo yoon","yoon","eun joo yoon","eun joo yoon","heeyeun yoon"
"0000-0003-1846-1027",2314407997,"cheng-ta yang","yang","cheng-ta yang","cheng-ta yang","ching-yang wu"
"0000-0002-8025-6211",2093591122,"ssu-yuan chen","chen","ssu-yuan chen","ssu-yuan chen","han-hsiang chen"
"0000-0001-6638-4746",2884926000,"jongsung park","park","jongsung park","jongsung park","su han park"
"0000-0001-9318-4272",2122169298,"hans bouwmeester","hans","hans bouwmeester","hans bouwmeester","hans j. p. marvin"
"0000-0002-8935-1768",2096577279,"anna tylki-szymanska","anna","anna tylki-szymanska","anna tylki-szymanska","joanna bandorowicz-pikula"
"0000-0001-6463-4561",1912977107,"kui ren","ren","kui ren","kui ren","lorenzo sadun"
"0000-0003-2257-5684",2800292050,"wei gao","wei","wei gao","wei gao","jian-wei li"
"0000-0001-8508-9099",1963851909,"tack lee","lee","tack lee","tack lee","jong tae lee"
"0000-0003-0912-8046",2008496542,"wenfa xie","xie","wenfa xie","wenfa xie","guohua xie"
"0000-0003-3337-0158",2779296589,"kuihua han","han","kuihua han","kuihua han","qing zhang"
"0000-0003-0317-3225",2734394457,"qingyu yan","yan","qingyu yan","qingyu yan","jun yang"
"0000-0002-2303-7231",2194550778,"ali mohebbi","ali","ali mohebbi","ali mohebbi","ali morad rashidi"
"0000-0001-9565-2279",858277725,"wenyuan gao","gao","wenyuan gao","wenyuan gao","shang gao"
"0000-0001-5418-689X",2552475356,"susmita das","das","susmita das","susmita das","deepa das"
"0000-0002-7419-021X",2096775647,"jongwoo kim","kim","jongwoo kim","jongwoo kim","bongsu kim"
"0000-0002-9852-0965",2042845252,"guangze jin","jin","guangze jin","guangze jin","jing m. chen"
"0000-0001-8068-6716",2070474741,"chun-wei chi","chi","chun-wei chi","chun-wei chi","lin-chi chen"
"0000-0001-8261-9381",2908268570,"hyungjun kim","kim","hyungjun kim","hyungjun kim","minho kim"
"0000-0003-4286-7027",2145515465,"hyun-suk kim","kim","hyun-suk kim","hyun-suk kim","eok soo kim"
"0000-0003-3091-8413",2060507208,"hyunseok kim","kim","hyunseok kim","hyunseok kim","jung-mu kim"
"0000-0002-3450-9767",2553086828,"debanjan das","das","debanjan das","debanjan das","soumen das"
"0000-0002-0794-5459",1530438812,"na","na","yong-gil na","yong gil na","hana yoon"
"0000-0002-4195-7760",2563526492,"jun ma","ma","jun ma","jun ma","matthew ciao"
"0000-0002-0327-4221",2608603140,"yang li","li","yang li","yang li","guangfeng liu"
"0000-0003-1143-1749",2154388314,"qiong yu","yu","qiong yu","qiong yu","ya qin yu"
"0000-0002-3255-6084",2624472065,"dapeng li","li","dapeng li","dapeng li","jianguo liu"
"0000-0002-2261-7349",2002643304,"naishi li","li","naishi li","naishi li","lue li"
"0000-0001-5440-5343",2902893696,"yujing li","li","yujing li","yujing li","lingzheng bu"
"0000-0003-0191-1503",1196286632,"junhua hu","hu","junhua hu","junhua hu","weihua chen"
"0000-0002-1611-8228",2195571213,"zhe bao wu","wu","zhe bao wu","zhe bao wu","ze rui wu"
"0000-0001-7191-0587",2169749991,"eun-kyeong","jo","jo eun-kyeong","eun-kyeong jo","jong eun lee"
"0000-0002-0019-4197",2605949949,"xuelong li","li","xuelong li","xuelong li","jilian zhang"
"0000-0001-9426-8363",2036037623,"reshak","a","a reshak","ali h. reshak","m. merabet"
"0000-0002-2413-7189",2093154274,"","","jaime merino troncoso","j. merino","a. greco"
"0000-0003-2397-7597",2793780662,"","","leila maria lopes bezerra","leila m. lopes-bezerra","luz a. lópez-ramírez"
"0000-0003-2754-9231",1981062388,"","","antonio jesús cañete martín","antonio cañete",""
"0000-0002-7805-4936",2138013490,"","","david gutiérrez-díaz del campo","d. gutiérrez díaz del campo","l. m. garcía lópez"
"0000-0002-7043-7334",2167165903,"","","f. xavier roca marva","francesc xavier roca","wenjuan gong"
"0000-0001-6744-6056",2001172476,"","","eduardo arilla ferreiro","e. arilla","j.c. prieto"
"0000-0002-9810-884X",2065116278,"","","miriam nohemi vazquez garcia","miriam noemi vazquez","elva perez-luque"
"0000-0002-4403-9658",2438756077,"","","antonio luis leal-rodriguez","antonio l. leal-rodríguez","josé l. roldán"
"0000-0002-3856-8764",1796422663,"","","ticiano gomes do nascimento","t. g. do nascimento","a. p. b. gomes"
"0000-0002-2883-0861",2498579537,"","","dr. deepak raj bhat","deepak r. bhat","r. yatabe"
"0000-0003-2918-7852",2107821094,"","","philip sauve","p. s. sauvé","i. g. i. suliman"
"0000-0002-1256-3201",2055988575,"","","wujun ","wu-jun chen","ping-ping wang"
"0000-0002-8423-5928",1996247876,"","","manuel jiménez melendo","m. jiménez-melendo","a. morales-rodrı́guez"
"0000-0001-9314-8183",2168102506,"","","felipe garcía sánchez","f. garcía-sánchez","a. sáez"
"0000-0002-4459-1450",2769431413,"","","ibrahim karacayli","İbrahim karaçayli","yücel canli"
"0000-0003-1139-5485",2910036981,"","","puteri shireen jahn kassim","shireen jahnkassim","maisarah ali"
"0000-0002-1387-9718",2508208361,"","","dérick lima gomes","d.l. gomes","f.o. bringel"
"0000-0002-1559-8012",1993564449,"","","fernando ochoa-cortes","f. ochoa-cortés","m. miranda-morales"
"0000-0002-4933-2300",2032072690,"","","luis chicharo","luís chícharo","maria alexandra chícharo"
"0000-0001-5693-5786",2079215910,"","","josé sánchez corona","sánchez-corona j","dávalos no"
"0000-0003-2812-9749",2027542435,"","","maggie c.y. lau vetter","maggie c. y. lau","stephen b. pointing"
"0000-0002-1850-9142",2908442604,"","","nataliia pentelejchuk","natalia penteleichuk","katerina chala"
"0000-0002-9983-0471",2018075855,"","","oleh shkodzinsky","o. k. shkodzinskii","v. v. bashta"
"0000-0002-5011-5936",2034572838,"","","carolina carrillo-carrion","c. carrillo-carrión","s. cárdenas"
"0000-0002-0515-7483",2018604034,"","","frederic marmigere","frédéric marmigère","florence rage"
"0000-0002-7242-7631",2162051751,"","","juraj grígel","j. grigel","o. prasil"
"0000-0001-6753-2843",2561126200,"","","juan domingo  gonzalez ","juan d. gonzalez","igor s. prario"
"0000-0002-0198-0472",2768514066,"","","lavinia-florina cĂlinoiu","lavinia florina călinoiu","maria bindea"
"0000-0001-6500-3729",1973559459,"","","thiago queiroz de oliveira","t. q. de oliveira","m. p. fernandez"
"0000-0001-9806-2119",2032238737,"","","artur golawski","a. goławski","a. dombrowski"
"0000-0002-3913-4909",2004558368,"","","manuel arturo rendÓn maldonado","manuel a. rendon","marco a. r. nascimento"
"0000-0003-4022-4917",2134224661,"","","jochen rössler","j. rossler","a. verschuur"
"0000-0002-4375-8386",9999526,"","","k. arzum erdem gursan","arzum erdem","joseph wang"
"0000-0002-0653-9539",2110750565,"","","mohamed abou-khousa","mohammed abu-khousa","wael saleh"
"0000-0001-6195-6645",2023500907,"","","altan asu aksoy robins","asu aksoy","kevin robins"
"0000-0002-6445-1121",1030414131,"","","murali krishnan manikketh","m. krishnan","p. k. mishra"
"0000-0001-8805-7228",2346993615,"","","lorena maria duran-riveroll","lorena m. durán-riveroll","josé correa-basurto"
"0000-0002-7102-2077",2899498951,"","","carlos antonio da silva junior","carlos antônio da silva júnior","gilsonley lopes dos santos"
"0000-0002-3790-4711",2587329165,"","","orlando castellanos diaz","o. castellanos-diaz","m. l. verlaan"
"0000-0002-1402-2556",2120122817,"","","freddy franco alava arevalo","freddy alava","marlon p saavedra"
"0000-0002-6809-3384",1526325397,"","","joaquin jordan","joaquín jordán","maría f. galindo"
"0000-0002-1377-8351",2603075101,"","","lucía dos santos gómez","l. dos santos-gómez","d. marrero-lópez"
"0000-0003-2816-9409",2903902331,"","","alexey yaroslavtsev","a a yaroslavzev","v d blank"
"0000-0002-5432-4786",2017260651,"","","luis jesús suárez moreno-arrones","luis suarez-arrones","francisco j. nuñez"
"0000-0001-5125-4332",1974924015,"","","jose luis gomez-skarmeta","josé luis gómez-skarmeta","carmen gloria feijóo"
"0000-0002-8710-7059",2058175242,"","","mariela flores castañeda","m. flores-castañeda","m. camacho-lópez"
"0000-0001-5350-1632",2902977296,"","","ramon ramon-muñoz","ramón ramón-muñoz",""
"0000-0002-0552-1687",2763079956,"","","joaquim  minguella i canela","j. minguella-canela","p. lagarrigue"
"0000-0003-2114-5922",1545412744,"","","eduardo steed espinoza quesada","e. s. espinoza","r. lozano"
"0000-0003-4023-033X",2083006719,"v","","vijeesh  v","v. vijeesh","k. narayan prabhu"
"0000-0002-7713-7131",1987690569,"xu","","chao-nan xu","chao nan xu","y. adachi"
"0000-0002-9294-7896",2031387738,"so","","byung-dal so","byung dal so","david a. yuen"
"0000-0003-2490-1121",2483279979,"ho","","ho wing kei","wingkei ho","pengfei xia"
"0000-0002-5185-1492",2130678342,"po","","lai man po","lai-man po","ka-man wong"
"0000-0002-6503-0951",2057506781,"hu","","chaosu hu","chao su hu","xiao shen wang"
"0000-0003-3955-7677",2492878697,"lin","","jiun chuan lin","jiun-chuan lin","michael e. meadows"
"0000-0003-4803-4755",2068978890,"ugo","","paolo ugo","p ugo","g.y champagne"
"0000-0002-1225-9904",2061823849,"lai","","derrick y.f. lai","derrick y. f. lai","tim r. moore"
"0000-0003-0428-3928",1965272472,"liu","","zhaoqian liu","zhao-qian liu","yu zhang"
"0000-0002-0565-8157",2914150348,"ana","","ana rosales-pérez","ana maría rosales perez","jesús molina gómez"
"0000-0002-2924-4370",2065475896,"kim","","do-hyung kim","do hyung kim","byung ha oh"
"0000-0002-3443-1808",2063969158,"lau","","tai wai david lau","david tai-wei lau","kevin yue zhu"
"0000-0002-5644-655X",2012602448,"kuo","","li-chieh kuo","li chieh kuo","chia ting su"
"0000-0003-4216-7805",1993292066,"cho","","seungil cho","seung il cho","sung-soo park"
"0000-0002-9460-8345",2023588337,"yeh","","an-chou yeh","an chou yeh","mau sheng chiou"
"0000-0003-1818-8470",2560039227,"cui","","xuemin cui","xue-min cui","qing tang"
"0000-0003-4184-0025",2895730218,"yue","","yong-jian yue","yongjian yue","yingyun fu"
"0000-0001-8071-5433",620963083,"bui","","ha h. bui","ha hong bui","yilin gui"
"0000-0001-5790-8608",2093013553,"cao","","yuancheng cao","yuan-cheng cao","yuan-di zhao"
"0000-0003-0384-4578",2069320043,"wen","","longping wen","long-ping wen","ming wang"
"0000-0002-0696-6741",2912718989,"lai","","wallace wai-lok lai","wallace w.l. lai","k.l. siu"
"0000-0002-6539-5010",2017714540,"lee","","nae-eung lee","n.-e. lee","w. heo"
"0000-0002-1944-7342",1982532725,"lin","","de-ye lin","deye lin","li chang"
"0000-0001-5170-1454",2187508106,"liu","","chi-min liu","chi‐min liu","chin‐hwa kong"
"0000-0002-8254-8031",2021127013,"liu","","lisheng liu","li-sheng liu","peng-cheng zhai"
"0000-0002-8821-8391",2126732074,"lee","","hak-eun lee","hak eun lee","hee jung ko"
"0000-0001-5337-1970",1602042996,"baum","","rex baum","rex l. baum","jonathan w. godt"
"0000-0002-8619-3004",1986185186,"sosa","","pedro a. sosa","p. a. sosa","j. caujapé‐castells"
"0000-0002-1897-8678",2305295695,"veal","","gareth veal","g.j. veal","m.g. barry"
"0000-0002-5879-6879",2897558892,"park","","yong-moon ( park","yong-moon mark park","moon kyung choi"
"0000-0002-8047-9861",2596381428,"sadi","","sadi on","sadi Ön","gürkan diker"
"0000-0003-3791-161X",2071933869,"muir","","james muir","j. muir","a. niederkorn"
"0000-0002-0300-1944",2027751709,"hong","","sung-tae hong","sung tae hong","soon hyung lee"
"0000-0002-8490-292X",2321583042,"teri","","teri odom","teri w. odom","george c. schatz"
"0000-0002-1665-6261",1971845625,"rowe","","harry rowe","harold d. rowe","ben hardt"
"0000-0001-6494-9563",2199953399,"beck","","paul beck","p. beck","d. hubbell"
"0000-0003-3428-637X",2762237007,"lima","","rui a. lima","rui lima","diana pinho"
"0000-0003-0478-2305",1924089036,"chan","","tak ming chan","tak-ming chan","wei wang"
"0000-0002-5721-1453",2092688342,"neil","","neil rees","neil v. rees","elza a. zakharova"
"0000-0001-9860-2090",2012519178,"jost","","oliver jost","o. jost","p. roussignol"
"0000-0002-2032-2272",2089173771,"cano","","celine cano","céline cano","ian r. hardcastle"
"0000-0001-5084-7312",2796791459,"khan","","khalid saeed khan","ks khan","e rogozińska"
"0000-0003-2356-272X",2890776041,"zhao","","xiao long zhao","xiaolong zhao","jian guan"
"0000-0003-1935-7264",2159584473,"byra","","Łukasz byra","lukasz byra","oded stark"
"0000-0003-4196-9726",2413453443,"illg","","claudius illg","illg c","müller a"
"0000-0003-1606-2030",2893032871,"zhao","","yunchao zhao","yun-chao zhao","yang zhang"
"0000-0002-6837-9606",2126355364,"meza","","radu meza","r. meza","c. sacarea"
"0000-0003-0045-5200",2074046225,"koop","","ben koop","ben f. koop","kim praebel"
"0000-0003-1415-7714",2057110758,"ting","","saskia ting","s ting","t mairinger"
"0000-0001-6797-3104",2008502793,"aqil","","mohd aqil","m. aqil","saqib zafar"
"0000-0002-8022-1326",2795628517,"ross","","ross kerr","ross c. kerr","catherine mériaux"
"0000-0002-4179-2708",1964381633,"sine","","sine nørholm just","sine n. just","tanja j. christiansen"
"0000-0003-2047-4783",2045386832,"moss","","thomas (tom) moss","tom moss",""
"0000-0002-1941-388X",2145318524,"wong",""," ricky wing kit wong","ricky w.k. wong","g.u. min"
"0000-0002-2353-7455",2890014371,"gins","","wouter gins","w. gins","n. severijns"
"0000-0003-0107-7918",2122706277,"pere","","pere vilà","pere vila","ramon fabregat"
"0000-0002-1780-8407",2064582660,"anna","","anna belicova","anna belicová","nadežda prónayová"
"0000-0002-1823-6535",2158969548,"gang","","gang liu","liu gang","zeng jiang"
"0000-0003-2633-3332",1975026559,"seah","","martin seah","m.p. seah","i.s. gilmore"
"0000-0001-6964-2341",2093666553,"pham","","quoc long pham","long q. pham","irina m. yakovleva"
"0000-0003-0287-8020",2056370836,"chau","","pui hing chau","p.h. chau","s.c. ho"
"0000-0003-2625-1230",2734633722,"said","","said vazquez leyva","said vázquez-leyva","luis vallejo-castillo"
"0000-0001-9734-4210",2119750276,"watt","","sebastian watt","s.f.l. watt","t.a. mather"
"0000-0002-2382-4075",1994283766,"chae","","soryong chae","s.r. chae","h.s. shin"
"0000-0002-0874-0922",2407515397,"sung","","molly meng hua sung","molly m.h. sung","sam chen"
"0000-0002-2282-6140",2399478263,"baxi","","sanjiv baxi","s. m. baxi","p. bacchetti"
"0000-0002-4666-5126",2048910719,"shen","","weixiang shen","w. x. shen","m. a. chowdhury"
"0000-0002-7045-9656",1548594860,"xuan","","xuan gao","xuan p. a. gao","michael j. manfra"
"0000-0003-1274-3576",2781839724,"eric","","eric lam","eric w.-f. lam","meng-lay lin"
"0000-0003-4259-2852",2103227952,"alam","","ahm zahirul alam","a.h.m. zahirul alam","md. rafiqul islam"
"0000-0003-3011-8168",1980608273,"diat","","olivier diat","o. diat","c. ligoure"
"0000-0001-6842-262X",2596478530,"edin","","edin begic","edin begić","edo hasanbegovic"
"0000-0001-5987-2733",2066822207,"tsui","","ophelia k. c. tsui","ophelia kwan chui tsui","yongjian wang"
"0000-0003-0389-7450",1608101043,"chan","","yan yee mark chan","mark chan","renato d. lópes"
"0000-0001-9924-4838",1990188018,"di wu","","di wu","di wu","lin zhou"
"0000-0003-0983-2156",2083237340,"nuria","","nuria aragones","nuria aragonés","francisco gonzález"
"0000-0003-3869-4477",2768887842,"booth","","campbell booth","c. booth","d. tzelepis"
"0000-0003-1394-9226",2063480486,"terri","","terri kinzy","terri goss kinzy","haiyan zheng"
"0000-0002-7067-6300",2782450150,"ahmed","","awad ahmed","awad i. ahmed","mohammed a. mannaa"
"0000-0002-6770-5473",2227966943,"barth","","rolf barth","rolf n. barth","robert h. christenson"
"0000-0003-1413-2613",2591753702,"eleni","","eleni galata bickell","eleni a. galata",""
"0000-0002-0630-4860",2094541312,"craig","","craig rice","craig r rice","michael d ward"
"0000-0003-2118-389X",2112857104,"arens","","paul arens","p. arens","m. zavodna"
"0000-0002-4003-004X",2089825048,"bruce","","jackie bruce","jacklyn bruce","robin tutor-marcom"
"0000-0001-6077-7960",2345132156,"arisi","","ana carolina arisi","ana c. m. arisi","carla s. mello"
"0000-0001-7548-3682",2318914978,"green","","anna green","anna g. green","richard e. lenski"
"0000-0001-9986-2767",2107568719,"charl","","charl ras","charl j. ras","marcus brazil"
"0000-0001-6911-0310",2781200974,"hilde","","hilde remøy","hilde remoy","anna attademo"
"0000-0002-7018-6862",2731136478,"jiang","","chaowei jiang","c. w. jiang","j. c. wang"
"0000-0003-4620-8416",2794372694,"judek","","slawomir judek","sławomir judek","jacek skibicki"
"0000-0003-2468-6804",1997795551,"finer","","nick finer","nicholas finer","patrick m. o'neil"
"0000-0003-1321-8036",1984019529,"nasir","","ateeq nasir","a nasir","a rastelli"
"0000-0001-7462-2273",2572209574,"julio","","julio villa-garcia","julio villa-garcía","imanol suárez-palma"
"0000-0002-7984-7209",1603581974,"aarne","","aarne männik","aarne mžnnik","jekaterina služenikina"
"0000-0002-9664-3101",1970646428,"ziora","","zyta ziora","zyta m. ziora","mariusz skwarczynski"
"0000-0002-7697-5352",1192784695,"manca","","andrea manca","a manca","b mercante"
"0000-0001-8006-5952",2376129700,"kapur","","p.k. kapur","p. k. kapur","nitin sachdeva"
"0000-0002-2213-9041",2035575330,"jaime","","jaime gimenez","jaime giménez","heberton wender"
"0000-0002-0371-2703",2886356516,"turan","","nazli turan","nazlı turan yücel","mustafa burak barbaros"
"0000-0002-7109-3529",1995399151,"valcz","","gabor valcz","gábor valcz","orsolya galamb"
"0000-0002-5463-5250",2307705567,"ammar","","ammar javed","ammar asrar javed","muhammad adil abbas khan"
"0000-0002-9223-508X",2735041059,"lobov","","alexander lobov","a. n. lobov","i. b. chernikova"
"0000-0003-3095-7201",1498427480,"henry","","henry puhl","henry l. puhl","padma s. roman"
"0000-0003-1711-375X",2009413014,"binns","","chris binns","c. binns","s.h. baker"
"0000-0003-2729-2413",2171369649,"spitz","","jerome spitz","jérôme spitz","yves cherel"
"0000-0003-4742-572X",2884472593,"laura","","laura m. suz","laura m suz","william m shaw"
"0000-0001-8995-7033",2027129850,"tanya","","tanya myers","tanya l. myers","norman c. anheier"
"0000-0002-3113-2298",2604982562,"wolfe","","adam wolfe","adam d. wolfe","adriana m. rodriguez"
"0000-0003-2886-6159",2072115733,"grava","","cesare grava","c. grava","g. cremonese"
"0000-0002-5876-6493",2049246153,"rijal","","hom bahadur rijal","h.b. rijal","h. yoshida"
"0000-0002-9801-1239",1552558074,"susan","","susan jones","susan m. jones","ron j. bouchard"
"0000-0002-0248-8738",2044122802,"leite","","yuri leite","yuri l. r. leite","vilacio caldara junior"
"0000-0001-6200-8989",2169095420,"ramos","","ana paula ramos","ana p. ramos","fernanda p. fugisawa"
"0000-0001-7187-1143",2793170113,"wuana","","raymond wuana","r wuana","a adegbe"
"0000-0003-0399-4648",2326494042,"renee","","renee jiji","renee d. jiji","jian xiong"
"0000-0003-3504-5092",2314803067,"patel","","premal amrishkumar patel","premal a. patel","antonella m. ardolino"
"0000-0001-8448-2024",2007650036,"kotov","","oleg kotov","o. i. kotov","s. i. markov"
"0000-0001-9379-2577",2606586298,"jordi","","jordi garcia gomez","jordi garcia","nerea mercadal"
"0000-0003-0148-5882",1524137011,"silas","","silas villas-boas","silas g. villas‐bôas","michael a. e. hansen"
"0000-0003-4533-6459",2013812189,"oyais","","oyais chat","oyais ahmad chat","masrat maswal"
"0000-0003-4925-7432",15352054,"dutta","","venkatesh dutta","v. dutta","a.p. tiwari"
"0000-0003-0643-7812",2770553157,"jamia","","nidhal jamia","n. jamia","sami el-borgi"
"0000-0002-4979-9031",2022217936,"kumar","","ramesh kumar","r. kumar","d. rawluk"
"0000-0001-9869-030X",1992848840,"gould","","john gould","j. e. gould","h. j. mcpherson"
"0000-0003-2724-8789",1996426451,"emery","","nicolas emery","n. emery","c. herold"
"0000-0003-1028-3086",1978368483,"welch","","kathleen welch","k. a. welch","j. e. barrett"
"0000-0003-2484-8279",2741516922,"zheng","","yujie zheng","yu jie zheng","cheng han"
"0000-0002-8490-671X",2560702662,"payne","","ruth payne","ruth o. payne","paul m. griffin"
"0000-0003-3366-4279",2916116697,"chang","","chang park","chang gi park","gwangsuk kim"
"0000-0002-5848-5114",1972919225,"edwin","","edwin cook","edwin h. cook","soo‐jeong kim"
"0000-0002-3357-5754",1967575627,"ke bi","","ke bi","ke bi","yunsheng guo"
"0000-0001-8643-1722",2138927281,"josé","","josé melo cristino","josé melo-cristino","elisabete raquel martins"
"0000-0003-3152-3800",2296497816,"peter","","peter leung","peter c.k. leung","bo peng"
"0000-0001-9721-9428",2013112704,"filip","","valeriu filip","v. filip","d. nicolaescu"
"0000-0003-0338-3476",2137274974,"aksun","","İrşadi aksun","m i aksun","e p karabulut"
"0000-0002-3929-2149",1986546317,"mills","","gary mills","gary h. mills","larry kasuboski"
"0000-0003-3893-360X",2023067993,"booth","","paula jane booth","paula booth","annela m. seddon"
"0000-0003-0728-7297",2017501886,"julie","","julie stanik - hutt","julie stanik-hutt","jillian aldebron"
"0000-0002-4797-6962",2546265743,"burak","","burak pekin","burak k. pekin","bryan a. endress"
"0000-0002-6917-934X",2329223112,"altay","","taskin altay","altay t","kayalı c"
"0000-0002-0477-6004",2782286787,"rajiv","","rajiv kode","k. rajiv","g. ramesh chandra"
