"orcid","pid","top1matcher_longest_common_word","top2matcher_longest_common_word","orcid_name","matched_biblio_author","matched_biblio_author2"
"0000-0002-3653-873X","c767af1c91b1212a683a02916b6615fdac5306f7","samir ghouali","ghouali","samir ghouali","samir ghouali","yassine zakarya ghouali"
"0000-0002-8924-038X","6d2615b418093339d94f764f8c0392082b426641","andrás szabó","andrás","andrás szabó","andrás szabó","andrás czirók"
"0000-0002-7500-7974","c65601b0d2477a2d87c79a8e1e7511e1110614a5","andrea bianchi","bianchi","andrea bianchi","andrea bianchi","nadia bianchi-berthouze"
"0000-0002-1988-4534","abef3add1f5d0073417cd5a5444cacc4313957bc","monireh ganjali","ganjali","monireh ganjali","monireh ganjali","mansoureh ganjali"
"0000-0003-0280-9500","3fe89008119c896e898cd980790a8c7bc689851c","leonard girnita","girnita","leonard girnita","leonard girnita","a girnita"
"0000-0002-3883-4989","4dec627f382aca262144f0a689d8d13500838985","andreas schwarz","andreas","andreas schwarz","andreas schwarz","andreas pinegger"
"0000-0001-7184-7282","a30ac94c97efac498c4740cc9ea55cc5504f9752","atsushi masamune","atsushi","atsushi masamune","atsushi masamune","atsushi kanno"
"0000-0003-4536-1750","d47fecb5e01a6ba235f9fef26d009b6b691a4931","urszula kosikowska","urszula","urszula kosikowska","urszula kosikowska","liliana urszula"
"0000-0002-5883-7597","65a5f0fdfbf2ee3cdbe4b194b440b719549a4ea0","laurent mandelbrot","laurent","laurent mandelbrot","laurent mandelbrot","laurent gavard"
"0000-0002-8752-8785","1a27ab8a960b85f55c4ef9040be22dea6af59ec7","bishop","bishop","tim bishop","d timothy bishop","julia a. newton bishop"
"0000-0002-6656-295X","b0b3887f44b69f8a09a2b2126740947923846733","andrew","andrew","andrew scott","andrew mark scott","andrew b. lassman"
"0000-0001-8206-1402","e2755bf228fd014f770df3fe7b9bd22affd69a0f","sharma","sharma","rohit kumar sharma","rohit k sharma","nidhi sharma"
"0000-0001-5901-4392","71e60805134794980f09c750a346f7ad0821833f","reynard","pierre","pierre reynard","pierre claude reynard","pierre bertholon"
"0000-0002-5590-7545","17e4df87b5e3596349536eeea584f6913c854f26","belmain","steven","steven belmain","steven r belmain","philip c. stevenson"
"0000-0002-8899-3443","1e94531db807296a81a4d53971306700230a1afb","hassan al-ali","hassan","hassan al-ali","hassan al-ali","hassan khachfe"
"0000-0002-3604-721X","978a3c50bc0f9ac79433e5beba4f9aee97633c05","pierre moreau","pierre","pierre moreau","pierre moreau","pierre beaucage"
"0000-0001-8443-5893","b51d487306c88ec97158064482d563c045427917","thomas kamradt","thomas","thomas kamradt","thomas kamradt","thomas opfermann"
"0000-0002-6757-2068","f539e5e052c805628200d2267cfb7f27dca4ba53","anders etzerodt","anders","anders etzerodt","anders etzerodt","emily k. anderson-baucum"
"0000-0002-7893-3236","b006aa1216c8950e5d4b28059321b7799d1cf1db","yoshikazu tanaka","tanaka","yoshikazu tanaka","yoshikazu tanaka","isao tanaka"
"0000-0001-7955-3377","8e97e575aa1971200c25b2ec6c1fbf4a353a498f","irinel valentin pletea","pletea","irinel valentin pletea","irinel valentin pletea","mariana pletea"
"0000-0002-2998-669X","ae68c7f17a36db6df9741953f79d393197ddf41b","leung","leung","kaho leung","ka-ho leung","chung-hang leung"
"0000-0001-9471-7093","1100ba5d3b3260e0cf11869dac5cda84ae7fcb59","bilal","bilal","dr. ahmad raza bilal","ahmad raza bilal","bilal ahmad"
"0000-0003-2404-3964","bfceadb782dba836e2e3ceb845505bdd561476b6","monica","silva","monica silva","monica costa silva","mauro feliz da silva"
"0000-0001-8228-4665","4e83a55ac555a7cd0a22a6f61e61f3df2ae6f1a2","al-lohedan","hamad","hamad al-lohedan","hamad a al-lohedan","hamad zaid alkhathlan"
"0000-0002-9982-9577","a8682fc2de2fa9c0de2c298198ab5d2aceb247f1","chinellato","david","david chinellato","david d. chinellato","davide falchieri"
"0000-0003-3348-477X","cf9060479ac9ee8a2a6459f21a3960257ef4d913","dinesh kumar","kumar","dinesh kumar","dinesh kumar","vijay kumar"
"0000-0002-8300-7309","736489f032f63701505c2eec2fdaf371e3668819","jordi coello","jordi","jordi coello","jordi coello","jordi cruz"
"0000-0002-2746-6607","9e73ac49b50ac7fc833e83a9a6d2711859699e3c","achim röder","achim","achim röder","achim röder","joachim hill"
"0000-0001-6586-748X","e54861f47b085cda80040d3421ed4f22ac591b99","do-won jeong","jeong","do-won jeong","do-won jeong","sojeong heo"
"0000-0002-2559-7320","e6d0f47ad335f6a64dfe17965158df23b110c013","peter mancuso","peter","peter mancuso","peter mancuso","karen e peterson"
"0000-0002-5786-2491","d888d4583903b16bbab8746831a55615f9a988fb","yuanjie zheng","zheng","yuanjie zheng","yuanjie zheng","benzheng wei"
"0000-0003-1516-7658","378b7c7508f1ada0df55321ca728a0a658f4d82c","yu-chang chang","chang","yu-chang chang","yu-chang chang","yi-chang lee"
"0000-0002-5706-131X","e20931113a30e9cf500ca5f2ec7c40a63f071f48","longxian zhang","zhang","longxian zhang","longxian zhang","yan zhang"
"0000-0003-1556-811X","f45c4ad9248dd59abd0d6cf35c1a15e95a1b46fd","jennifer fusco","fusco","jennifer fusco","jennifer fusco","gregory fusco"
"0000-0001-6720-2684","7083e8e3e04e10bb2dd8ada4b683ec86cdb2292b","peter achenbach","peter","peter achenbach","peter achenbach","andreas peter"
"0000-0001-9093-7494","463ce829f39156d260eb0dad6ccd84c82fbbaf3e","wang","wang","dalei wang","da long wang","mengen wang"
"0000-0002-7498-2153","f6c087004a1b179a2ee22f02e8db409448e3eb54","dane","dane","cem dane","c. m. dane","banu dane"
"0000-0001-6031-6953","08e2dc93d458b41eda70bdcb6cf42def86fcd671","norman","jane","jane norman","jane e norman","sarah jane stock"
"0000-0003-0022-2191","847ea7f8ad461728fa54ba1824b0b93d2161f452","vaman m","naik","vaman m naik","vaman m. naik","ratna naik"
"0000-0003-2686-466X","e5b9995d0b007b936125b8ae1340c21fbda9e7fe","xin wang","wang","xin wang","xin wang","jing-yuan wang"
"0000-0002-7547-3115","be74165466ef9689be40f91d8c46445c6fc21c94","feng wang","wang","feng wang","feng wang","qiang wang"
"0000-0001-5234-7370","63442f1d049e74363a4dd85dbd21e2f976964395","dario neri","neri","dario neri","dario neri","paolo neri"
"0000-0002-6469-5126","2cd38aaa3841ff000628927ef6bd5203cc290990","qiwei yang","yang","qiwei yang","qiwei yang","yiwen yang"
"0000-0003-4307-2058","191ea40de6539b25b40c3f5502432883c6e5af36","ming zhang","ming","ming zhang","ming zhang","xiaoming yin"
"0000-0003-3682-1858","3bbefabd41aff840fac82da8f3214ca6a372082b","wenbin wang","wang","wenbin wang","wenbin wang","weiwei wang"
"0000-0001-8849-1614","fca15d03ef403dd8a0284591157e695261ae9829","youming chen","chen","youming chen","youming chen","shun-cheng lee"
"0000-0003-0911-7312","b9114e62a2e282ed54b7d8966e7dc7e75b30970c","xinfeng wang","wang","xinfeng wang","xinfeng wang","wenxing wang"
"0000-0003-1169-176X","e2bd42e6d43c6f06fb29304ffab6072ad71fd0fc","honglian wang","wang","honglian wang","honglian wang","li wang"
"0000-0001-8588-2628","a2468b71d6f6716e6f44d2b25a09e0df0d6ee02d","jean colombani","jean","jean colombani","jean colombani","jean-paul caltagirone"
"0000-0003-1131-5350","cf6112d4d9d6d72ee80e67b697dd80cdfc0f7ca6","asif irshad khan","khan","asif irshad khan","asif irshad khan","usman ali khan"
"0000-0002-1712-6609","fdfc9f27edf79b6d7f854b469bc7a510584b703c","hege fredriksen berg","berg","hege fredriksen berg","hege fredriksen berg","ingvild løberg tangen"
"0000-0002-3122-2250","066bd95cfe469ee8d4a70a582f163a926731e46b","anne sverdrup-thygeson","anne","anne sverdrup-thygeson","anne sverdrup-thygeson","marianne evju"
"0000-0002-7575-868X","60cf808f2ec19dc5a45f2ab6d27ec758ec706429","lee","lee","dongjin lee","dong-jin lee","jung-kul lee"
"0000-0002-5414-4339","5eddfe74859bb917846ad460924bf4447a1f9514","kim","kim","kyeongmin kim","kyeong min kim","joo-heon kim"
"0000-0002-9110-2963","37063e38caa51527252512a3a9b8d5fb25dde7e9","lee","lee","hyun-ju lee","hyun ju lee","ki hun lee"
"0000-0001-5001-5567","557a59134886d0dfa7cb18464d878ef5bdae5b23","hua","hua","hua lin","hua v lin","yonghua zhu"
"0000-0003-3437-912X","9d347aa7c3b399f705e9913a18376dee89bf1590","zhang","jin","jin zhang","jin zhong zhang","peng yun jin"
"0000-0002-1252-5600","d03d56cf203458b3b2126f35873158b92cca5d1d","yan wu","yan","yan wu","yan wu","yichen yang"
"0000-0002-9967-3912","fdb1f842f12ae5947182102039fd2171c4f9c28c","jun yan","yan","jun yan","jun yan","qing yan"
"0000-0002-3159-8039","1474c1b6a0aebe4a88ce537495737d1d90e2a4b0","min liu","liu","min liu","min liu","tingkai liu"
"0000-0001-6978-1405","f8d2c237257a23f72ea93f2c7fd9e9b89c7fe9a6","wei fan","wei","wei fan","wei fan","wei gao"
"0000-0002-8520-7267","bd88fa710feafb9442d07f0a3c4285ef1f5bcd4b","rui dinis","rui","rui dinis","rui dinis","rui rodrigues"
"0000-0003-2815-6915","b5c4fb15d07d747ef14f0bc7b2209a254de73cb8","zheng liu","liu","zheng liu","zheng liu","xiaoqin liu"
"0000-0003-2951-0656","c8dab62e58e9aabbe2564088b478adc6a84d56fd","ann saada","ann","ann saada","ann saada","fanny reichert"
"0000-0003-3337-0158","c3b052a70e4f4019b55e483c19fc75556feaf6a7","kuihua han","han","kuihua han","kuihua han","ge han"
"0000-0001-8332-2264","9e168783196f53a1c87b6b9530a11f0c80988698","ali Çaylı","ali","ali Çaylı","ali Çaylı","ali selçuk mercanli"
"0000-0001-6499-1331","d72b38a41cbd8cedc7b8332e3ca05ba12143ce5f","haijian xia","xia","haijian xia","haijian xia","xiaochuan sun"
"0000-0001-7165-793X","c4eb2784351517134f927a6b7ff1f85f1fcd1c82","xin-feng wei","wei","xin-feng wei","xin-feng wei","wei yang"
"0000-0001-8314-1981","24202989e1bc044d1d946080887243476f6e181b","dong-wook han","han","dong-wook han","dong-wook han","han young woo"
"0000-0003-0037-2456","b351f6c97ee43480350004de0ab317239a7b868b","jeong eon lee","lee","jeong eon lee","jeong eon lee","se kyung lee"
"0000-0003-1401-000X","e52e5656eadb0d96d81974a65701455f80389761","hu","hu","xiaosu hu","xiao-su hu","shuzhi sam ge"
"0000-0003-3137-8420","4bf1162a5a65617e4fe30f52baf3a602dd536e77","he","he","weiqi he","wei-qi he","wen-cheng zhang"
"0000-0002-9587-2666","c334abb2a917c4065be0f1d8e87ba04ca770993c","li","li","jianbin li","jian-bin li","jing-peng li"
"0000-0003-4194-3059","313f3193aedcbf3d9372086f31569039fa3390fa","li","li","lianyun li","lian-yun li","qing-lan li"
"0000-0002-7104-2414","edd194958f6e3f3c1c400de33bf03b7c281e8901","yi lv","yi","yi lv","yi lv","yihua he"
"0000-0002-0154-3088","f8bdea3f58f0bcb58098fe230de5d719fd467a10","bo li","li","bo li","bo li","lily h. zhang"
"0000-0002-6164-8463","0089c6446ebe9fd38ece7ded26b4337d8598a00e","yu qiu","yu","yu qiu","yu qiu","yuan liang li"
"0000-0002-6860-6135","05271c0a5a15f188ef8d5446e402f2c10aced2cc","jing li","li","jing li","jing li","yuchang li"
"0000-0003-4815-0537","f26c1423f5e60a477f0fe498b9f330b2a4a55726","heng li","li","heng li","heng li","yupeng li"
"0000-0003-2092-8191","6ecfe7b048b11c8617967ae5ea89e0f4c9e3d600","gaoming li","li","gaoming li","gaoming li","hui li"
"0000-0002-6673-5830","800d6fa4796a05fc158bdbb784d404b6848f9150","aixiang he","he","aixiang he","aixiang he","zhenan tang"
"0000-0001-5836-1069","6a65c3a1411f00cfc9ba38d3322fecaa87f1469b","pengfei li","li","pengfei li","pengfei li","xinmiao liang"
"0000-0002-3319-5997","f9df8d8dd27450420e66b73dace0437a81864e39","jia xin yu","yu","jia xin yu","jia xin yu","yunqing lin"
"0000-0001-6076-3147","e1336d396c6343692c069641bba5b0e4f1cfe131","ki-jeong na","na","ki-jeong na","ki-jeong na","kikuyasu nakamura"
"0000-0002-9210-5349","2770e0fabc46334b7bf642b5fc8c21532a9dcb30","how yong ng","ng","how yong ng","how yong ng","say leong ong"
"0000-0002-4980-5251","14c587602f950ad566d2521270b7255c90e5355d","thanh nho do","do","thanh nho do","thanh nho do","tegoeh tjahjowidodo"
"0000-0002-9719-9700","60ec7907b916cb339e2a8155e26f427f2a08e4c2","shankar","p","p shankar","p mohana shankar","j. y. chapelon"
"0000-0002-3987-1511","04e8b78d74433d0c2ad13cd3517419f95bdff977","adikesava sastry","r","adikesava sastry r","regulagadda adikesava sastry","ravikanth kongara"
"0000-0002-5104-6573","c8646d251a8eaed15fb6fb755dc5404fea7cadd8","","","juana coello sobrino","jordi coello","m. carmen manjabacas"
"0000-0003-0883-8214","7f2b5cded6997f23b58628bc491c98876d09a660","","","neda mirbagher ajorpaz","n mir bagher ajorpaz","saeide heidari"
"0000-0001-8283-3185","add484afbb68b87ec3dd2eb7ce037ed04b724ac9","","","j. enrique dominguez-munoz","juan enrique domínguez-muñoz","jose lariño-noia"
"0000-0001-6157-1358","c06dbf9272549bdaa20ac5e9e93e08d85a68bbd5","","","victor julian valdes","víctor-julián valdés","pablo rangel"
"0000-0001-5823-2558","5e1a50d44d25bc5d331b9c1bb576cf883621dfc5","","","joris remmers","r. de borst","doo bo chung"
"0000-0002-1488-6098","7ae5224a07f745e057fe992798a4e6586149efc2","","","mustafa ozgur oteyaka","mustafa Özgür Öteyaka","hasan candan Öteyaka"
"0000-0001-6934-6550","71e4126abeb198a184e11a0ebf7fc8ecd5d357f4","","","alvaro olate-perez","Á. olate-pérez","a. barreiro-rego"
"0000-0002-2874-0401","33343759c3b7de2f7f324554b0b83627decda450","","","maria-teresa martin-valdivia","maría teresa martín-valdivia","luis alfonso ureña lópez"
"0000-0002-4727-5664","7ef7246e46a22276111c38603dc577747c0a7209","","","mª carmen  san josé","m. carmen san-josé","ana m. vieitez"
"0000-0003-1239-680X","dacd046a6a2779b8ded7feedd3e9b46e088bdd84","","","maría josé ibáñez-pérez","maría j. ibáñez","domingo barrera"
"0000-0003-0824-1266","66fb049a2f2ea0a8d37156d6966293c1d1b4e3fe","","","yaw-jen ","yew-jen chang","ching-yuan ho"
"0000-0002-9058-0365","1a7d75e23ccde6c23b101dba5207f388c5ef0d71","","","hurevren kilic","hürevren kiliç","kasim oztoprak"
"0000-0001-5863-7950","c14c521983fbf26928de1e642e22e048e300f960","","","k n rajasekharran ","kallikat n. rajasekharan","sasidharan nishanth kumar"
"0000-0002-1899-3907","ebd8123601eb0c6e0e44503b2dd67546ea85b835","","","ildiko horvath","ildikó horváth","brian c. lovell"
"0000-0003-0949-2630","74eff83ee997a6350ed9530f2cba714097345040","","","ali reza sharif afshar","ali-reza sharif-afshar","elizabeth forrester"
"0000-0001-8892-4256","57a77a7abe6a2b188788d0d8fdd5136380c76d87","","","františek dařena","frantisek darena","jan zizka"
"0000-0003-2289-2241","c4bf3476ac23bc02bf69b4fed73c30807a6a8955","","","joanna pajdak-czaus","j. pajdak","stanisław robak"
"0000-0002-5042-5221","619767dcd98304ce23b29054289fb33482d2d03f","","","mohamed ali khalil elatawy","mohamed a el-atawy","dario formenti"
"0000-0002-6834-7858","9a8c258a0fd1a3242e9f358e3242eef2e349ba89","","","lyda fabiola  vallejo castillo","lida fabiola vallejo-castillo","aura cristina quino-Ávila"
"0000-0003-4062-9519","7c32c0ec65137e00659353a1f3cc5cec88cbb6af","","","asiye işın doğan ekici","isin dogan ekici","michael ittmann"
"0000-0002-2268-4613","ef576e4fdb4f5ac0305285183ac5e5df9cef2d31","","","jessika rojas marin","j. v. rojas","carlos henry castano"
"0000-0002-1800-1189","9ad231315f72c7cb4d861c90b187f811037e07fe","","","darwin patricio castillo malla","darwin castillo-malla","oscar amable vivanco-galván"
"0000-0003-2329-1851","bfbac874cac10c1a0194df0a122779e895569966","","","maria dolores gomez-roig","maría dolores gómez roig","m perez-cruz"
"0000-0001-9288-4568","0c4bf570c16d7b5118525f42b734bef2ef5edbd5","","","frantisek stepanek","františek Štěpánek","sarang oka"
"0000-0001-5034-4184","8febd8924ce93ac76d0f3d3d77594747013cefbd","","","vladimír král","vladimír král","alla sinica"
"0000-0002-3748-2352","2a031816f1b0351cc9fd8fae4c8b3d0b0fd3b548","","","josÉ-miguel esparza-miÑana","josé-miguel esparza-miñana",""
"0000-0003-1138-0072","8eb040282cdc306919c75bd6fb64233c7422a399","","","lyderic france","riccardo vannucci","irene pezzali"
"0000-0003-2037-4651","1e2b75d4e56406323c45902db0b96a1e5d3a4088","","","xilin ","xi-lin zhang","liankai cao"
"0000-0002-4280-4723","209232c19d58cdb28b1e7f7f867ab62c78ab0836","","","olivier polit","laurent rivierre",""
"0000-0001-7969-4030","83f7e6dcc3b1a51b7058f1b05f762405a13ada89","","","angel rodriguez-laso","Ángel rodríguez-laso","pilar rodriguez-garcía"
"0000-0001-5118-3597","9aa5d619bb86496e5c54f292c2eed84ef22cae21","","","cesar gonzalez","césar gonzález","fernando flores"
"0000-0003-2624-1454","d8bd3395b1f766a5cd9ffe50197cbe60d5a8c15b","","","josé luis gutiérrez pérez","jose-luis gutierrez-perez","santos crespo-torres"
"0000-0002-6593-9399","411f4451f19d108871b96e2a2f3270367c691ba3","","","v magesh ","v. magesh","pandurangan harikrishnan"
"0000-0001-7335-2785","b3d5dca41f21c85ea14d96c83ff662eaa5e9932b","","","stuart micklethwaite","s l mickthwaite","d mistry"
"0000-0002-8538-2735","f937de0e31bdfde6e7547f4ddd04d0cd65a3d3b0","","","luis edilberto suárez zambrano","luis suárez","jorge sáiz serrano"
"0000-0002-4509-1044","3eafa9595a7e09acdd6b58575e30579dd6ba5704","","","eva maría gómez del pulgar villanueva","eva maria gomez del pulgar","pilar codoñer-franch"
"0000-0001-6118-0525","301cff7e5a20db8cd1347f624f0e7afd973f679b","","","seyed mohsen moosavi khansari","m. mosavi-khansari","hossein sadeghi"
"0000-0002-6117-3293","ecafa4beb19a94a6b6d933496e8f6b0f10e05393","","","gerd kjølle","g. h. kjolle","a.t. holen"
"0000-0003-0054-4449","1a3edf575c2da43a17ec728ea4fd7dea2866a8e6","","","thi van anh nguyen","thị vân anh nguyễn","hidekazu tanaka"
"0000-0003-1806-3715","2dfee3f138ac3cc997d1977c0b62a1389971e512","","","miłosz kadziński","milosz kadzinski","roman slowinski"
"0000-0002-7433-5976","412d3e87f19a3408ed09b7f0569e5370533fbdd5","","","encarnacion fernandez-valle","maría encarnación fernández-valle","neil hernandez"
"0000-0002-2538-0455","2cb300cfbece89cfbbf58fc87b7703f4b90d02ef","","","crystal tonnessen-murray","c. a. tonnessen","nikolas k. haass"
"0000-0001-7481-390X","9ea05dcf835cdc0e23f685301a2fa5c246f79a5d","","","bela volgyi","béla völgyi","robert gábriel"
"0000-0001-5645-3373","750674981077d4dc08b650bbbec38ad7157d6061","","","bernard jackson cosby jr","bernard cosby","edward b. rastetter"
"0000-0002-1277-3348","8398cf4b2e070d9b24a752a79b9b3830aef02870","","","hossam abd el_ghany","h. abdel-ghany","hassan m. moustafa"
"0000-0002-8358-4958","dfc4d9f23a4910dd9421ce048617b80779e1fb8b","","","luis alcacer","luís alcácer","quirina ferreira"
"0000-0002-4662-8878","24437a892250c41e80bd5890973cc6bc7b69aa8a","","","kiymet caliyurt","kıymet tunca Çalıyurt",""
"0000-0001-9006-0020","abd3237618993cc2e3fdb4da0f2c31f6a3bd758a","","","willian aperador chaparro","william aperador","arnoldo emilio delgado"
"0000-0003-4147-9620","c3240a9e7e7fbc92f12772204fe29d5fd5376d71","s","","mathu kumar s","s. mathukumar","va nagarajan"
"0000-0001-8590-3521","14b95ee98c041580658068bf426bca049d12acd0","qu","","xiaoxia qu","xiao-xia qu","hai-he hu"
"0000-0003-1350-9642","4f9d6179ac92a613a2879e832237bec076e27d0c","yu","","kin man yu","kin yu","floris reurings"
"0000-0003-4246-0526","f5231c9ba89751da106c6fdacd7ff2c29144422e","dam","","hoa khanh dam","khanh hoa dam","aditya k. ghose"
"0000-0002-4229-4356","be82a63c6e2dab58a64faf8a12e2974623ee1788","nam","","hyeon hwa nam","hyeon-hwa nam","kyunghwa kim"
"0000-0003-4272-0340","9e73cf21aeedc0b633d90b675d55582f681ca5c9","wan","","yihan wan","yi-han wan","x zhang"
"0000-0002-6851-0133","639115102c835bd878dcf6e7e0a13af6dbbbc5a8","loh","","ai poh loh","adrienne p. loh","jun fu"
"0000-0002-4724-856X","28c76128bf986fbb0704fa3a66c7863d49c63750","yam","","fong kwong yam","f. k. yam","nidhal nissan jandow"
"0000-0003-2308-4297","08bf7ec5668e00667a4cdec0fed0da8f3b287f61","hsu","","tien hsu","tsungda hsu","d. king"
"0000-0003-0038-9610","828e9a34b2094c4d6b6dd2d465d2ea2dc0a5637f","per","","per tunestål","per tunestal","thomas b. johansson"
"0000-0001-5340-8470","20ad8d9c6499223b29ec0db3995c39b6e42ebd94","yue","","andrew yue","a. t. yue","david mclarty gilliam"
"0000-0003-2928-3350","aa9341c67f8846f11b12fb8f1fbd97bba4dd30b2","ana","","ana pejcic","ana pejčić","aleksandar radunović"
"0000-0002-3290-1992","ac4f1f1929866f45a49686f0819ef7c09a0dcb68","wan","","xiangliang wan","xiang-liang wan","kai-ming wu"
"0000-0002-3207-734X","dfe7c4b2b98a280a18f7d35887b6129bec4444cf","lin","","wan wan lin","wen lin","d. m. chuang"
"0000-0003-3259-6796","d38583e5c10472312f3063bb3a29305f417cc401","liu","","zhi-qiang liu","zhiqiang liu","lifeng ping"
"0000-0002-6059-2736","6395b4f1c009babe2c9007e2c7eb866a52f5df29","nam","","soonkeon nam","nam","workman"
"0000-0002-2616-8501","8cfd87d7df470235ce289e5a85850608f6d77249","zhu","","yi-shen zhu","yishen zhu","alan connolly"
"0000-0002-0717-8210","64b6bc520359954c1334ca70f3f92a5a98e4bbfb","xia","","qiuyu xia","qiu yu xia","lu yuan"
"0000-0003-2895-2073","ea2f313829a9657b9482a84a24d3e982c20ab12b","lau",""," chloe kam hong lau","chloe lau","alan wong"
"0000-0002-0400-1030","e8ae5983ad5b0923f11269b07f1002f86c7ecd5e","kai","","kai xie","kai-he xie","ya cui"
"0000-0001-9033-9099","dc23780480523df372857f4d3e007f75ff3dacf6","liu","","xin guang liu","xinguang liu","xi-li yang"
"0000-0002-8267-3801","b6249104816b1bd7817c28cb3f19333a9148a767","cho","","hyun gug cho","hyun-gug cho","sang-il lee"
"0000-0002-0462-3999","a61f54086ddab9a20d3247b4a928e82922eb20c8","tse","","chi tse","c. k. tse","siew-chong tan"
"0000-0001-6754-2822","1c912f0c6ee2a0b34c2a75dd07fc95f7aa4e75a4","jun ","","jun ","jun koyanagi","masashi ishikawa"
"0000-0003-1635-6151","558f2958edfdc33eca86a5d92647d830c13337f4","kube","","ralph kube","ronald kube","matthias wiesenberger"
"0000-0001-7735-3187","c0f4942e083ea6656f1ac58f5e52379814790a3b","tian","","wei tian","wei xin tian","ziqiang wang"
"0000-0003-1407-5698","309db76ab58bcc680c0ab342d6e95bcd00ab11c4","babu","","b sathish babu","b. sathish babu","renukswamy c. chikkamath"
"0000-0003-4014-5311","296d79be3032afa5c43adb905c7a1b18c4657306","lisa","","lisa daly","lisa m daly","vicki flenady"
"0000-0002-6728-0559","4fd545d94ed6ce3a4fbd69b8ec53978bd0e319d0","zang","","shuang-quan zang","shuangquan zang","you xuan zheng"
"0000-0003-3648-656X","bde473114a90ea792c0ae59628b19dac3750c02f","jang","","migyeong jang","mi gyeong jang","yong chan ha"
